title,company,location,description,salary_predicted,date_posted,category,avg_salary,city,description_clean,sql,python,power bi,tableau,excel,r,spark,aws,azure,snowflake,pandas,matplotlib,seaborn,machine learning,statistics,dax,etl,looker,databricks
Data Analyst - Data Analyst I,Apex Systems,"Bee Cave, Travis County","Job: 3033642 Job Description: Data Analyst - Data Analyst I Location: Austin, Texas (Onsite) Employment Type: Contract Role Overview This position supports effective decision-making through economic, financial, and market analysis of critical issues. The role involves capacity planning, price and cost modeling, and evaluating returns on investment. The Data Analyst will also assist with capacity forecasting, budgeting, and reporting for operating expenses, capital, and resource allocation, whil…",Yes,"May 07, 2026",IT Jobs,63058.91,Bee Cave,"job: 3033642 job description: data analyst - data analyst i location: austin, texas (onsite) employment type: contract role overview this position supports effective decision-making through economic, financial, and market analysis of critical issues. the role involves capacity planning, price and cost modeling, and evaluating returns on investment. the data analyst will also assist with capacity forecasting, budgeting, and reporting for operating expenses, capital, and resource allocation, whil…",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sr. Data Analyst,HCLTech,"Texas, US","We are HCLTech, one of the fastest-growing large tech companies in the world and home to 223,000 people across 60 countries, supercharging progress through industry-leading capabilities centered around Digital, Engineering and Cloud. (www.hcltech.com) The driving force behind that work, our people, are diverse, creative, and passionate, raising the bar for excellence on a regular basis. We, in turn, work hard to bring out the best in them as we strive to help them find their spark and become th…",Yes,"May 26, 2026",IT Jobs,169739.92,Texas,"we are hcltech, one of the fastest-growing large tech companies in the world and home to 223,000 people across 60 countries, supercharging progress through industry-leading capabilities centered around digital, engineering and cloud. (www.hcltech.com) the driving force behind that work, our people, are diverse, creative, and passionate, raising the bar for excellence on a regular basis. we, in turn, work hard to bring out the best in them as we strive to help them find their spark and become th…",False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Senior Data Analyst,HCLTech,"Texas, US","We are HCLTech, one of the fastest-growing large tech companies in the world and home to 223,000 people across 60 countries, supercharging progress through industry-leading capabilities centered around Digital, Engineering and Cloud. (www.hcltech.com) The driving force behind that work, our people, are diverse, creative, and passionate, raising the bar for excellence on a regular basis. We, in turn, work hard to bring out the best in them as we strive to help them find their spark and become th…",Yes,"May 26, 2026",IT Jobs,166940.14,Texas,"we are hcltech, one of the fastest-growing large tech companies in the world and home to 223,000 people across 60 countries, supercharging progress through industry-leading capabilities centered around digital, engineering and cloud. (www.hcltech.com) the driving force behind that work, our people, are diverse, creative, and passionate, raising the bar for excellence on a regular basis. we, in turn, work hard to bring out the best in them as we strive to help them find their spark and become th…",False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Data Analyst,Randstad Digital,"Texas, US","job summary: Excellent written, oral communication, project management and presentation skills, and the ability to present complex data and outcomes in a simple and clear way Highly proficient in PowerPoint and other Microsoft applications location: Westlake, Texas job type: Contract salary: $65 - 66 per hour work hours: 8am to 5pm education: Bachelors responsibilities: Bachelor's degree required 7 years of experience in a Data and Analytics role with exposure to IT and business partners In dep…",Yes,"May 29, 2026",IT Jobs,59453.82,Texas,"job summary: excellent written, oral communication, project management and presentation skills, and the ability to present complex data and outcomes in a simple and clear way highly proficient in powerpoint and other microsoft applications location: westlake, texas job type: contract salary: $65 - 66 per hour work hours: 8am to 5pm education: bachelors responsibilities: bachelor's degree required 7 years of experience in a data and analytics role with exposure to it and business partners in dep…",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Data Analyst I,"US Tech Solutions, Inc.","Texas, US","Job Summary This position will be responsible for: Support effective decision-making through economic, financial and market analysis of critical issues, including capacity planning, price and cost modeling, and returns on investment. Support the capacity forecasting, budgeting and reporting efforts for operating expense, capital and resource allocation. Design and coordinate the development of systems and tools to keep pace with the group’s growing and rapidly changing businesses. Job Qualifica…",Yes,"May 14, 2026",IT Jobs,102308.64,Texas,"job summary this position will be responsible for: support effective decision-making through economic, financial and market analysis of critical issues, including capacity planning, price and cost modeling, and returns on investment. support the capacity forecasting, budgeting and reporting efforts for operating expense, capital and resource allocation. design and coordinate the development of systems and tools to keep pace with the group’s growing and rapidly changing businesses. job qualifica…",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DATA ANALYST,AaraTechnologies Inc,"Texas City, Galveston County","Data Analyst Retail & E-Commerce (2 3 Years Experience) Company: AaraTech Inc About the Role AaraTech Inc is seeking a Data Analyst Retail & E-Commerce to support reporting and analytics for retail and ecommerce platforms. This role involves analyzing sales and transaction data, building dashboards, and supporting KPI reporting. You will work closely with business teams to enable data-driven decisions. Ideal for early-career professionals building analytics expertise. Key Responsibilities Analy…",Yes,"May 29, 2026",IT Jobs,64377.61,Texas City,"data analyst retail & e-commerce (2 3 years experience) company: aaratech inc about the role aaratech inc is seeking a data analyst retail & e-commerce to support reporting and analytics for retail and ecommerce platforms. this role involves analyzing sales and transaction data, building dashboards, and supporting kpi reporting. you will work closely with business teams to enable data-driven decisions. ideal for early-career professionals building analytics expertise. key responsibilities analy…",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Data Analyst,AVA Consulting,"Plano, Collin County","AVA Consulting is seeking a Data Analyst Location: Plano, TX (Hybrid) Duration: 12 Month Company Background: Our client, a major employer in the area, is looking for a Data Analyst to be part of its team in its North American operations. Description: The primary focus of client s Analytics teams is to generate actionable insights by leveraging data and using effective data storytelling to help their company make better data-driven decisions. Uncover business needs and the true questions that th…",Yes,"May 27, 2026",IT Jobs,81613.31,Plano,"ava consulting is seeking a data analyst location: plano, tx (hybrid) duration: 12 month company background: our client, a major employer in the area, is looking for a data analyst to be part of its team in its north american operations. description: the primary focus of client s analytics teams is to generate actionable insights by leveraging data and using effective data storytelling to help their company make better data-driven decisions. uncover business needs and the true questions that th…",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Data Analyst,Robert Half,"Miland, Sabine County","Description We are looking for a Data Analyst to join a team in Midland, Texas in an onsite contract-to-permanent role. This position centers on managing and interpreting data to support business decisions, with a strong emphasis on building reliable reporting and analytical solutions. The ideal candidate brings hands-on experience with SQL, Power BI, Python, and R, and is comfortable working across large datasets in a fast-paced environment. Responsibilities: Organize, maintain, and validate d…",Yes,"May 21, 2026",IT Jobs,73359.05,Miland,"description we are looking for a data analyst to join a team in midland, texas in an onsite contract-to-permanent role. this position centers on managing and interpreting data to support business decisions, with a strong emphasis on building reliable reporting and analytical solutions. the ideal candidate brings hands-on experience with sql, power bi, python, and r, and is comfortable working across large datasets in a fast-paced environment. responsibilities: organize, maintain, and validate d…",True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Data Analyst,Robert Half,"Fort Sam Houston, Bexar County","Description We are looking for a detail-oriented Data Analyst to support data management and quality efforts in San Antonio, Texas. This is a 2-3 month Contract position focused on maintaining accurate records, refining spreadsheet-based information, and preparing data for reliable use across business needs. The ideal candidate is comfortable working independently, handling repetitive tasks with precision, and using Excel to identify issues and improve dataset quality. Responsibilities: Transfo…",Yes,"May 21, 2026",IT Jobs,78356.1,Fort Sam Houston,"description we are looking for a detail-oriented data analyst to support data management and quality efforts in san antonio, texas. this is a 2-3 month contract position focused on maintaining accurate records, refining spreadsheet-based information, and preparing data for reliable use across business needs. the ideal candidate is comfortable working independently, handling repetitive tasks with precision, and using excel to identify issues and improve dataset quality. responsibilities: transfo…",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Data Analyst,"cyberThink, Inc.","Fort Sam Houston, Bexar County","Job Description: Support the development and testing of Client systems and services Deliver advanced analytics and business intelligence for Payment Services operations. Design, implement, and maintain dashboards and data pipelines. Provide actionable insights through data mining and statistical analysis. Description: Build and maintain marketing performance dashboards (Power BI) that track campaign and channel KPIs, trends, and outcomes on a daily/weekly/monthly cadence. • Define KPI methodolo…",Yes,"May 15, 2026",IT Jobs,86169.03,Fort Sam Houston,"job description: support the development and testing of client systems and services deliver advanced analytics and business intelligence for payment services operations. design, implement, and maintain dashboards and data pipelines. provide actionable insights through data mining and statistical analysis. description: build and maintain marketing performance dashboards (power bi) that track campaign and channel kpis, trends, and outcomes on a daily/weekly/monthly cadence. • define kpi methodolo…",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
